ticker	signal_price
TQQQ	47.39
TQQQ	47.82
TQQQ	48.22
TQQQ	48.35
TQQQ	48.36
TQQQ	48.56
TQQQ	51.17
TQQQ	51.22
TQQQ	51.81
TQQQ	52.3
TQQQ	52.44
TQQQ	52.5
TQQQ	52.78
TQQQ	53.58
TQQQ	53.83
TQQQ	53.93
TQQQ	54.01
TQQQ	54.13
TQQQ	54.1
TQQQ	53.6
TQQQ	52.3
TQQQ	55.0
TQQQ	55.35
TQQQ	55.44
TQQQ	58.64
TQQQ	59.78
TQQQ	60.35
TQQQ	55.97
TQQQ	51.58
TQQQ	53.63
TQQQ	50.92
TQQQ	52.38
TQQQ	53.76
TQQQ	53.71
TQQQ	54.13
TQQQ	53.6
TQQQ	55.49
TQQQ	58.71
TQQQ	60.23
TQQQ	51.42
SQQQ	86.18
SQQQ	86.22
SQQQ	86.35
SQQQ	82.15
SQQQ	82.32
SQQQ	76.97
SQQQ	77.05
SQQQ	78.1
SQQQ	76.94
SQQQ	78.08
SQQQ	79.03
SQQQ	76.68
SQQQ	74.15
SQQQ	74.38
SQQQ	65.6
SQQQ	67.9
SQQQ	68.68
SQQQ	68.65
SQQQ	72.6
SQQQ	72.78
SQQQ	73.8
SQQQ	73.76
SQQQ	72.04
SQQQ	72.0
SQQQ	72.31
SQQQ	79.71
SQQQ	80.03
SQQQ	82.32
SQQQ	77.9
SQQQ	77.3
SQQQ	64.68
SQQQ	72.6
SQQQ	72.16
SQQQ	73.13
SQQQ	80.57
SQQQ	81.97
SQQQ	80.56
SQQQ	82.0
SQQQ	77.85
SQQQ	77.85
SQQQ	68.57
SQQQ	73.13
SQQQ	74.18
SQQQ	78.56
SQQQ	74.18
SQQQ	76.33
SQQQ	75.45
SOXL	27.11
SOXL	29.1
SOXL	29.32
SOXL	29.32
SOXL	29.33
SOXL	29.43
SOXL	29.89
SOXL	29.88
SOXL	29.92
SOXL	30.48
SOXL	30.52
SOXL	32.9
SOXL	34.52
SOXL	35.05
SOXL	35.03
SOXL	34.07
SOXL	35.66
SOXL	36.13
SOXL	39.21
SOXL	39.31
SOXL	42.58
SOXL	39.12
SOXL	38.56
SOXL	38.69
SOXL	40.62
SOXL	41.38
SOXL	43.51
SOXL	43.67
SOXL	47.27
SOXL	49.0
SOXL	49.05
SOXL	49.06
SOXL	46.27
SOXL	32.58
SOXL	35.83
SOXL	38.3
SOXL	39.27
SOXL	39.51
SOXL	39.5
SOXL	39.88
SOXL	40.02
SOXL	40.11
SOXL	40.49
SOXL	40.64
SOXL	29.18
SOXL	29.32
SOXL	29.33
SOXL	29.43
SOXL	29.74
SOXL	29.93
SOXL	30.39
SOXL	30.48
SOXL	30.52
SOXL	30.22
SOXL	29.82
SOXL	34.03
SOXL	34.47
SOXL	34.49
SOXL	35.07
SOXL	35.1
SOXL	35.63
SOXL	35.88
SOXL	36.03
SOXL	42.55
SOXL	39.58
SOXL	47.15
SOXL	47.1
SOXL	50.26
SOXL	40.64
SOXL	40.82
SOXL	27.03
SOXL	29.23
SOXL	29.29
SOXL	29.37
SOXL	29.35
SOXL	29.66
SOXL	30.14
SOXL	30.34
SOXL	34.51
SOXL	34.69
SOXL	35.0
SOXL	35.83
SOXL	36.03
SOXL	36.02
SOXL	47.15
SOXL	47.08
SOXL	49.95
SOXL	29.66
SOXL	30.16
SOXL	30.4
SOXL	34.61
SOXL	34.97
SOXL	49.69
BTC-USD	120106.94
BTC-USD	120134.45
BTC-USD	120430.09
BTC-USD	120336.55
BTC-USD	122350.69
BTC-USD	123966.38
BTC-USD	125530.95
BTC-USD	125731.33
BTC-USD	124503.34
BTC-USD	124514.32
BTC-USD	122031.2
BTC-USD	123023.3
BTC-USD	121817.15
BTC-USD	112288.71
BTC-USD	111729.97
BTC-USD	111654.02
BTC-USD	114139.52
BTC-USD	114479.63
BTC-USD	115159.12
BTC-USD	115232.25
BTC-USD	115249.11
BTC-USD	113225.12
BTC-USD	113234.76
BTC-USD	111586.07
BTC-USD	109034.54
BTC-USD	109041.2
BTC-USD	109089.24
BTC-USD	107368.55
BTC-USD	108239.32
BTC-USD	108459.55
BTC-USD	108526.46
BTC-USD	109172.31
BTC-USD	109200.05
BTC-USD	111235.88
BTC-USD	108547.15
BTC-USD	108748.93
BTC-USD	108803.46
BTC-USD	110555.26
BTC-USD	111414.69
BTC-USD	111384.62
BTC-USD	111312.22
BTC-USD	111279.42
BTC-USD	111281.09
BTC-USD	110722.02
BTC-USD	110839.88
BTC-USD	111025.18
BTC-USD	110987.64
BTC-USD	111032.34
BTC-USD	111359.48
BTC-USD	111396.28
BTC-USD	111726.07
BTC-USD	111745.93
BTC-USD	111736.73
BTC-USD	111671.7
BTC-USD	113628.78
BTC-USD	115514.05
BTC-USD	115472.2
BTC-USD	115472.59
BTC-USD	115474.74
BTC-USD	113364.5
BTC-USD	109784.69
BTC-USD	110039.49
BTC-USD	110165.73
BTC-USD	110494.88
BTC-USD	110514.63
BTC-USD	110762.73
BTC-USD	110798.38
BTC-USD	107800.26
BTC-USD	107025.66
BTC-USD	101464.55
BTC-USD	101804.34
BTC-USD	102898.88
BTC-USD	102927.7
BTC-USD	103095.99
BTC-USD	103792.32
BTC-USD	104155.72
BTC-USD	102278.58
BTC-USD	102362.61
BTC-USD	103111.3
BTC-USD	103209.82
BTC-USD	103527.75
BTC-USD	103746.08
BTC-USD	102200.99
BTC-USD	102235.89
BTC-USD	102284.65
BTC-USD	102370.23
BTC-USD	102311.99
BTC-USD	103758.51
BTC-USD	104261.73
