ticker	interval	score	signal_date	signal_price	breakthrough_date
保利发展 (600048.SS)	1h	3.18	2025-09-25 12:30:00	7.63	
滨化股份 (601678.SS)	2h	3.51	2025-09-25 11:30:00	4.07	
中国核电 (601985.SS)	3h	4.2	2025-09-25 09:30:00	8.51	
申万宏源 (000166.SZ)	4h	4.83	2025-09-24 13:30:00	5.19	
爱朋医疗 (300753.SZ)	2h	4.82	2025-09-24 13:30:00	29.56	
银河电子 (002519.SZ)	4h	4.77	2025-09-24 13:30:00	4.73	
滨化股份 (601678.SS)	2h	3.96	2025-09-24 13:30:00	4.1	
中国中铁 (601390.SS)	2h	3.89	2025-09-24 13:30:00	5.5	
中国核电 (601985.SS)	2h	3.75	2025-09-24 13:30:00	8.49	
申万宏源 (000166.SZ)	3h	4.41	2025-09-24 12:30:00	5.19	
银河电子 (002519.SZ)	3h	4.32	2025-09-24 12:30:00	4.73	
爱朋医疗 (300753.SZ)	1h	3.47	2025-09-24 10:30:00	28.39	2025-09-24 14:30:00
金山办公 (688111.SS)	4h	6.13	2025-09-24 09:30:00	308.25	2025-09-25 09:30:00
金山办公 (688111.SS)	3h	5.67	2025-09-24 09:30:00	309.74	2025-09-25 09:30:00
中文在线 (300364.SZ)	2h	4.24	2025-09-24 09:30:00	26.54	2025-09-25 09:30:00
金山办公 (688111.SS)	2h	5.26	2025-09-24 09:30:00	309.73	2025-09-24 09:30:00
神剑股份 (002361.SZ)	4h	5.47	2025-09-24 09:30:00	6.32	
神剑股份 (002361.SZ)	3h	4.9	2025-09-24 09:30:00	6.34	
神剑股份 (002361.SZ)	2h	4.38	2025-09-24 09:30:00	6.33	
银河电子 (002519.SZ)	2h	4.11	2025-09-24 09:30:00	4.72	
财达证券 (600906.SS)	2h	3.86	2025-09-24 09:30:00	7.14	
中文在线 (300364.SZ)	1h	3.33	2025-09-23 14:30:00	26.2	2025-09-25 09:30:00
财达证券 (600906.SS)	1h	3.31	2025-09-23 14:30:00	7.11	
银河电子 (002519.SZ)	1h	3.19	2025-09-23 14:30:00	4.66	
神剑股份 (002361.SZ)	1h	3.14	2025-09-23 14:30:00	6.26	
滨化股份 (601678.SS)	1h	3.1	2025-09-23 14:30:00	4.07	
洛阳钼业 (603993.SS)	1h	3.34	2025-09-23 13:30:00	12.47	2025-09-25 09:30:00
洛阳钼业 (603993.SS)	1h	3.34	2025-09-23 13:30:00	12.47	2025-09-25 09:30:00
中国中铁 (601390.SS)	4h	4.82	2025-09-23 13:30:00	5.53	
京沪高铁 (601816.SS)	4h	4.77	2025-09-23 13:30:00	5.22	
长江电力 (600900.SS)	4h	4.76	2025-09-23 13:30:00	27.32	
中国中铁 (601390.SS)	2h	3.9	2025-09-23 13:30:00	5.53	
中国核电 (601985.SS)	2h	3.75	2025-09-23 13:30:00	8.53	
申万宏源 (000166.SZ)	2h	3.74	2025-09-23 13:30:00	5.15	
博苑股份 (301617.SZ)	1h	4.07	2025-09-23 12:30:00	75.02	2025-09-24 10:30:00
中国中铁 (601390.SS)	3h	4.4	2025-09-23 12:30:00	5.53	
京沪高铁 (601816.SS)	3h	4.36	2025-09-23 12:30:00	5.22	
中国人寿 (601628.SS)	1h	3.15	2025-09-23 12:30:00	37.9	
中国人寿 (601628.SS)	2h	3.62	2025-09-23 11:30:00	37.9	
工商银行 (601398.SS)	3h	5.43	2025-09-23 09:30:00	7.39	2025-09-24 12:30:00
中文在线 (300364.SZ)	1h	3.29	2025-09-22 14:30:00	26.93	2025-09-25 09:30:00
爱朋医疗 (300753.SZ)	1h	3.2	2025-09-22 14:30:00	29.6	2025-09-24 14:30:00
长城汽车 (601633.SS)	1h	3.33	2025-09-22 14:30:00	24.66	
财达证券 (600906.SS)	2h	3.75	2025-09-22 13:30:00	7.24	
申万宏源 (000166.SZ)	2h	3.74	2025-09-22 13:30:00	5.2	
爱朋医疗 (300753.SZ)	2h	3.67	2025-09-22 13:30:00	29.6	
神剑股份 (002361.SZ)	1h	3.12	2025-09-22 13:30:00	6.36	
财达证券 (600906.SS)	1h	3.09	2025-09-22 13:30:00	7.21	
申万宏源 (000166.SZ)	1h	3.58	2025-09-22 12:30:00	5.17	
中国船舶 (600150.SS)	1h	3.14	2025-09-22 12:30:00	34.98	
爱朋医疗 (300753.SZ)	1h	3.28	2025-09-22 09:30:00	29.69	2025-09-24 14:30:00
中信证券 (600030.SS)	2h	3.96	2025-09-22 09:30:00	28.61	
中信证券 (600030.SS)	1h	3.31	2025-09-19 13:30:00	28.49	2025-09-25 09:30:00
坤彩科技 (603826.SS)	1h	3.26	2025-09-19 13:30:00	19.26	
交通银行 (601328.SS)	1h	3.12	2025-09-19 12:30:00	6.88	2025-09-23 11:30:00
中远海控 (601919.SS)	3h	4.22	2025-09-19 12:30:00	14.89	
