ticker	interval	score	signal_date	signal_price	breakthrough_date
ORCL	4h	5.29	2025-11-26 09:30:00	206.05	
ORCL	3h	4.42	2025-11-25 15:30:00	196.99	
ORCL	2h	3.93	2025-11-25 15:30:00	196.99	
NVDA	2h	3.72	2025-11-25 15:30:00	177.8	
QMCO	3h	4.41	2025-11-25 12:30:00	6.99	2025-11-26 12:30:00
QMCO	2h	3.94	2025-11-25 11:30:00	6.97	2025-11-26 11:30:00
DIS	1h	3.54	2025-11-25 09:30:00	103.22	2025-11-26 10:30:00
DIS	3h	4.49	2025-11-25 09:30:00	103.28	
USAR	3h	4.67	2025-11-24 15:30:00	12.37	2025-11-28 09:30:00
BA	3h	4.31	2025-11-24 15:30:00	179.02	2025-11-26 09:30:00
BA	2h	3.82	2025-11-24 15:30:00	179.02	2025-11-26 09:30:00
ORCL	2h	3.69	2025-11-24 15:30:00	200.34	
QMCO	2h	3.71	2025-11-24 13:30:00	6.99	2025-11-26 11:30:00
VST	4h	5.0	2025-11-24 13:30:00	175.13	
USAR	4h	4.7	2025-11-24 13:30:00	12.37	
NVDA	1h	3.84	2025-11-24 10:30:00	182.09	2025-11-26 10:30:00
IONQ	3h	5.46	2025-11-24 09:30:00	44.54	2025-11-28 09:30:00
USAR	3h	4.25	2025-11-24 09:30:00	12.4	2025-11-28 09:30:00
VST	3h	4.87	2025-11-24 09:30:00	172.57	2025-11-26 12:30:00
IREN	2h	6.44	2025-11-24 09:30:00	47.06	2025-11-26 11:30:00
ETHA	2h	4.23	2025-11-24 09:30:00	21.55	2025-11-26 11:30:00
VRT	3h	5.76	2025-11-24 09:30:00	170.8	2025-11-26 09:30:00
NBIS	2h	5.05	2025-11-24 09:30:00	89.88	2025-11-26 09:30:00
VST	2h	4.32	2025-11-24 09:30:00	172.01	2025-11-26 09:30:00
UUUU	2h	4.69	2025-11-24 09:30:00	13.41	2025-11-25 13:30:00
OPFI	3h	4.14	2025-11-24 09:30:00	9.22	2025-11-25 12:30:00
OPFI	1h	3.24	2025-11-24 09:30:00	9.23	2025-11-25 10:30:00
RDDT	4h	5.56	2025-11-24 09:30:00	191.64	2025-11-25 09:30:00
TSM	3h	5.38	2025-11-24 09:30:00	282.88	2025-11-24 15:30:00
VST	1h	3.41	2025-11-24 09:30:00	169.73	2025-11-24 15:30:00
QUBT	2h	5.02	2025-11-24 09:30:00	10.71	2025-11-24 13:30:00
AGQ	1h	3.67	2025-11-24 09:30:00	84.86	2025-11-24 13:30:00
SLV	1h	3.43	2025-11-24 09:30:00	45.71	2025-11-24 13:30:00
NBIS	1h	4.46	2025-11-24 09:30:00	89.48	2025-11-24 11:30:00
OPEN	4h	8.22	2025-11-24 09:30:00	7.66	2025-11-24 09:30:00
TSLA	2h	4.98	2025-11-24 09:30:00	417.56	2025-11-24 09:30:00
TSM	2h	4.97	2025-11-24 09:30:00	283.88	2025-11-24 09:30:00
TSLA	1h	4.32	2025-11-24 09:30:00	414.69	2025-11-24 09:30:00
TSM	1h	4.27	2025-11-24 09:30:00	281.62	2025-11-24 09:30:00
BABA	2h	4.23	2025-11-24 09:30:00	160.29	2025-11-24 09:30:00
IREN	3h	7.63	2025-11-24 09:30:00	48.3	
UUUU	4h	5.79	2025-11-24 09:30:00	13.48	
DXYZ	4h	5.39	2025-11-24 09:30:00	21.24	
ETHA	3h	5.37	2025-11-24 09:30:00	22.03	
OKLO	4h	5.3	2025-11-24 09:30:00	90.99	
UUUU	3h	5.29	2025-11-24 09:30:00	13.46	
BABA	4h	4.98	2025-11-24 09:30:00	160.54	
NVDA	3h	4.79	2025-11-24 09:30:00	182.47	
OKLO	3h	4.76	2025-11-24 09:30:00	90.76	
NVDA	2h	4.22	2025-11-24 09:30:00	182.09	
MSTR	2h	4.09	2025-11-24 09:30:00	173.39	
ETH-USD	3h	4.19	2025-11-22 15:30:00	2755.21	2025-11-26 15:30:00
SOL-USD	3h	4.3	2025-11-22 15:30:00	128.13	2025-11-25 09:30:00
SOL-USD	4h	5.09	2025-11-22 13:30:00	128.13	2025-11-27 09:30:00
SOL-USD	2h	3.78	2025-11-22 13:30:00	126.75	2025-11-24 15:30:00
CRML	3h	4.55	2025-11-21 15:30:00	7.12	2025-11-28 09:30:00
DXYZ	3h	4.23	2025-11-21 15:30:00	20.8	2025-11-28 09:30:00
USAR	2h	4.12	2025-11-21 15:30:00	12.22	2025-11-28 09:30:00
DXYZ	2h	3.74	2025-11-21 15:30:00	20.8	2025-11-28 09:30:00
JOBY	3h	4.11	2025-11-21 15:30:00	13.09	2025-11-26 12:30:00
CRML	1h	3.55	2025-11-21 15:30:00	7.12	2025-11-26 12:30:00
BA	2h	3.66	2025-11-21 15:30:00	179.66	2025-11-26 09:30:00
IONQ	2h	4.01	2025-11-21 15:30:00	41.72	2025-11-24 15:30:00
RR	2h	3.79	2025-11-21 15:30:00	2.99	2025-11-24 15:30:00
ASTS	1h	3.33	2025-11-21 15:30:00	51.38	2025-11-24 15:30:00
MARA	1h	3.39	2025-11-21 15:30:00	10.06	2025-11-24 13:30:00
SOUN	1h	4.07	2025-11-21 15:30:00	11.22	2025-11-24 11:30:00
ETHA	1h	3.36	2025-11-21 15:30:00	20.7	2025-11-24 11:30:00
IREN	1h	3.25	2025-11-21 15:30:00	42.27	2025-11-24 10:30:00
VRT	2h	3.76	2025-11-21 15:30:00	159.87	2025-11-24 09:30:00
QBTS	3h	4.13	2025-11-21 15:30:00	20.39	
LUNR	4h	5.71	2025-11-21 13:30:00	8.62	2025-11-28 09:30:00
XIACY	4h	4.94	2025-11-21 13:30:00	24.8	2025-11-28 09:30:00
SMR	1h	4.29	2025-11-21 13:30:00	18.64	2025-11-28 09:30:00
ALAB	4h	5.46	2025-11-21 13:30:00	141.98	2025-11-26 13:30:00
USAR	1h	3.85	2025-11-21 13:30:00	12.21	2025-11-26 13:30:00
MSTR	1h	3.57	2025-11-21 13:30:00	173.6	2025-11-26 12:30:00
CRML	1h	3.36	2025-11-21 13:30:00	7.14	2025-11-26 12:30:00
MLGO	2h	4.4	2025-11-21 13:30:00	6.26	2025-11-26 11:30:00
NVDA	1h	3.99	2025-11-21 13:30:00	184.19	2025-11-26 10:30:00
DXYZ	1h	3.62	2025-11-21 13:30:00	20.92	2025-11-26 10:30:00
JOBY	2h	4.16	2025-11-21 13:30:00	13.07	2025-11-26 09:30:00
OPFI	1h	3.43	2025-11-21 13:30:00	9.33	2025-11-25 10:30:00
QBTS	2h	4.84	2025-11-21 13:30:00	20.35	2025-11-24 15:30:00
ASTS	1h	4.1	2025-11-21 13:30:00	52.34	2025-11-24 15:30:00
JOBY	1h	3.84	2025-11-21 13:30:00	13.16	2025-11-24 14:30:00
RGTI	2h	5.26	2025-11-21 13:30:00	23.42	2025-11-24 13:30:00
MARA	1h	3.68	2025-11-21 13:30:00	10.19	2025-11-24 13:30:00
AGQ	1h	3.41	2025-11-21 13:30:00	85.08	2025-11-24 13:30:00
SLV	1h	3.21	2025-11-21 13:30:00	45.74	2025-11-24 13:30:00
QUBT	1h	3.98	2025-11-21 13:30:00	10.35	2025-11-24 12:30:00
NBIS	1h	4.44	2025-11-21 13:30:00	86.0	2025-11-24 11:30:00
QBTS	1h	4.39	2025-11-21 13:30:00	20.41	2025-11-24 11:30:00
IONQ	1h	4.25	2025-11-21 13:30:00	41.25	2025-11-24 11:30:00
MLGO	1h	4.23	2025-11-21 13:30:00	6.33	2025-11-24 11:30:00
MRVL	2h	4.19	2025-11-21 13:30:00	78.12	2025-11-24 11:30:00
SOUN	1h	3.69	2025-11-21 13:30:00	11.25	2025-11-24 11:30:00
ETHA	1h	3.38	2025-11-21 13:30:00	21.0	2025-11-24 11:30:00
RGTI	1h	4.6	2025-11-21 13:30:00	23.59	2025-11-24 10:30:00
IREN	1h	4.48	2025-11-21 13:30:00	42.78	2025-11-24 10:30:00
RR	1h	4.22	2025-11-21 13:30:00	3.02	2025-11-24 10:30:00
INTC	2h	4.56	2025-11-21 13:30:00	34.74	2025-11-24 09:30:00
ALAB	1h	4.17	2025-11-21 13:30:00	143.07	2025-11-24 09:30:00
INTC	1h	4.14	2025-11-21 13:30:00	34.88	2025-11-24 09:30:00
CLSK	1h	4.06	2025-11-21 13:30:00	9.8	2025-11-24 09:30:00
VRT	1h	4.01	2025-11-21 13:30:00	161.04	2025-11-24 09:30:00
CLS	1h	3.97	2025-11-21 13:30:00	281.78	2025-11-24 09:30:00
SERV	1h	3.95	2025-11-21 13:30:00	8.74	2025-11-24 09:30:00
SOFI	1h	3.93	2025-11-21 13:30:00	25.32	2025-11-24 09:30:00
MRVL	1h	3.84	2025-11-21 13:30:00	78.6	2025-11-24 09:30:00
APP	1h	3.81	2025-11-21 13:30:00	525.1	2025-11-24 09:30:00
TSLA	1h	3.69	2025-11-21 13:30:00	401.7	2025-11-24 09:30:00
BABA	1h	3.61	2025-11-21 13:30:00	154.71	2025-11-24 09:30:00
TSM	1h	3.59	2025-11-21 13:30:00	278.45	2025-11-24 09:30:00
RKLB	2h	4.02	2025-11-21 13:30:00	40.36	
DUO	3h	4.49	2025-11-21 12:30:00	1.69	2025-11-28 09:30:00
SBET	3h	4.4	2025-11-21 12:30:00	9.41	2025-11-26 12:30:00
AAOI	1h	3.17	2025-11-21 12:30:00	19.74	2025-11-24 09:30:00
AREC	1h	4.45	2025-11-21 11:30:00	2.68	2025-11-28 10:30:00
SMCI	1h	3.95	2025-11-21 11:30:00	32.38	2025-11-28 09:30:00
FIG	2h	4.21	2025-11-21 11:30:00	34.12	2025-11-26 13:30:00
MSTR	1h	3.82	2025-11-21 11:30:00	174.7	2025-11-26 12:30:00
CRML	1h	3.14	2025-11-21 11:30:00	7.22	2025-11-26 12:30:00
SBET	2h	4.87	2025-11-21 11:30:00	9.38	2025-11-26 11:30:00
ACHR	2h	4.79	2025-11-21 11:30:00	7.09	2025-11-26 11:30:00
NVDA	1h	3.56	2025-11-21 11:30:00	181.07	2025-11-26 10:30:00
CRWV	1h	4.68	2025-11-21 11:30:00	71.78	2025-11-26 09:30:00
PHUN	2h	4.53	2025-11-21 11:30:00	1.9	2025-11-26 09:30:00
JD	2h	4.11	2025-11-21 11:30:00	28.82	2025-11-26 09:30:00
TLRY	1h	3.91	2025-11-21 11:30:00	0.92	2025-11-25 14:30:00
CRM	2h	4.01	2025-11-21 11:30:00	226.07	2025-11-25 09:30:00
LUNR	2h	4.6	2025-11-21 11:30:00	8.39	2025-11-24 15:30:00
