ticker	date	score	nx_1h
AAPL	2025-02-27	3	True
AAPL	2025-02-26	4	True
ABNB	2025-02-26	4	True
ABNB	2025-02-25	4	True
ABNB	2025-02-24	4	True
ABNB	2025-02-21	4	True
SPY	2025-02-21	3	True
NFLX	2025-02-20	3	True
SPY	2025-02-20	3	True
META	2025-02-19	3	True
NFLX	2025-02-19	3	True
META	2025-02-18	3	True
NFLX	2025-02-18	3	True
NVDA	2025-02-12	3	True
NVDA	2025-02-11	3	True
NVDA	2025-02-10	3	True
