ticker	interval	score	signal_date	signal_price	breakthrough_date
ADBE	3h	4.23	2025-07-29 15:30:00	370.7	
ADBE	2h	3.77	2025-07-29 15:30:00	370.7	
QCOM	1h	3.49	2025-07-29 15:30:00	162.13	
TQQQ	4h	4.81	2025-07-29 13:30:00	89.36	
TQQQ	2h	3.84	2025-07-29 13:30:00	89.4	
QQQ	2h	3.71	2025-07-29 13:30:00	567.4	
NVDA	2h	3.69	2025-07-29 13:30:00	175.82	
ADBE	1h	3.58	2025-07-29 13:30:00	372.58	
WMT	1h	3.32	2025-07-29 13:30:00	98.06	
NVDA	3h	4.23	2025-07-29 12:30:00	175.82	
PANW	1h	5.17	2025-07-29 11:30:00	200.47	
NVDA	1h	3.7	2025-07-29 10:30:00	175.86	
DELL	1h	3.69	2025-07-29 10:30:00	132.99	
QCOM	1h	3.53	2025-07-29 10:30:00	161.21	
PANW	4h	6.42	2025-07-29 09:30:00	198.6	
BA	2h	6.23	2025-07-29 09:30:00	228.05	
BA	1h	5.56	2025-07-29 09:30:00	230.38	
OKLO	4h	5.55	2025-07-29 09:30:00	73.07	
APP	3h	5.53	2025-07-29 09:30:00	360.07	
OKLO	3h	5.48	2025-07-29 09:30:00	72.19	
PLTR	4h	5.13	2025-07-29 09:30:00	156.86	
AMZN	4h	5.08	2025-07-29 09:30:00	231.7	
TQQQ	3h	4.93	2025-07-29 09:30:00	89.61	
SPY	4h	4.82	2025-07-29 09:30:00	636.18	
AMZN	3h	4.73	2025-07-29 09:30:00	231.18	
QQQ	3h	4.56	2025-07-29 09:30:00	567.85	
TQQQ	2h	4.47	2025-07-29 09:30:00	89.48	
QQQ	2h	4.07	2025-07-29 09:30:00	567.54	
SHOP	1h	3.64	2025-07-29 09:30:00	125.7	
BABA	1h	3.56	2025-07-29 09:30:00	121.97	
ONC	1h	3.32	2025-07-28 14:30:00	296.04	2025-07-29 09:30:00
BABA	1h	3.23	2025-07-28 14:30:00	121.72	
CAT	2h	3.78	2025-07-28 13:30:00	433.15	2025-07-29 15:30:00
CAT	4h	4.79	2025-07-28 13:30:00	433.0	
QQQ	2h	3.65	2025-07-28 13:30:00	567.47	
PANW	1h	3.11	2025-07-28 13:30:00	204.49	
CAT	3h	4.35	2025-07-28 12:30:00	433.15	
SPY	3h	4.24	2025-07-28 12:30:00	636.04	
TQQQ	1h	3.25	2025-07-28 12:30:00	89.5	
LLY	1h	3.19	2025-07-28 12:30:00	814.95	
QQQ	1h	3.16	2025-07-28 12:30:00	567.53	
LLY	1h	3.25	2025-07-28 10:30:00	813.38	
CAT	1h	3.23	2025-07-28 10:30:00	434.11	
PLTR	2h	4.3	2025-07-28 09:30:00	157.82	2025-07-29 11:30:00
MSFT	3h	4.39	2025-07-28 09:30:00	512.12	2025-07-28 15:30:00
MSFT	2h	3.91	2025-07-28 09:30:00	512.66	2025-07-28 15:30:00
UPST	4h	6.12	2025-07-28 09:30:00	81.28	
OKLO	3h	6.09	2025-07-28 09:30:00	73.14	
PLTR	4h	5.57	2025-07-28 09:30:00	156.2	
PLTR	3h	4.84	2025-07-28 09:30:00	157.57	
TEM	1h	4.51	2025-07-28 09:30:00	63.02	
MSFT	1h	3.49	2025-07-25 15:30:00	513.77	2025-07-29 09:30:00
PLTR	1h	3.16	2025-07-25 15:30:00	158.84	2025-07-28 14:30:00
TQQQ	3h	4.13	2025-07-25 15:30:00	88.94	
AMZN	3h	4.13	2025-07-25 15:30:00	231.45	
RIVN	3h	4.13	2025-07-25 15:30:00	14.0	
NVDA	3h	4.11	2025-07-25 15:30:00	173.49	
UPST	3h	4.11	2025-07-25 15:30:00	83.5	
QQQ	3h	4.09	2025-07-25 15:30:00	566.39	
TQQQ	2h	3.65	2025-07-25 15:30:00	88.94	
QQQ	2h	3.62	2025-07-25 15:30:00	566.39	
NVDA	2h	3.62	2025-07-25 15:30:00	173.49	
PANW	1h	3.43	2025-07-25 15:30:00	203.27	
AVGO	1h	3.33	2025-07-25 15:30:00	290.29	
CRM	1h	3.3	2025-07-25 15:30:00	269.15	
QQQ	1h	3.15	2025-07-25 14:30:00	566.82	
TQQQ	1h	3.15	2025-07-25 14:30:00	89.17	
RIVN	1h	3.32	2025-07-25 13:30:00	13.97	2025-07-25 15:30:00
NVDA	1h	3.2	2025-07-25 12:30:00	173.88	
VST	4h	4.89	2025-07-25 09:30:00	194.1	2025-07-28 13:30:00
QBTS	4h	6.11	2025-07-25 09:30:00	18.8	
ASTS	4h	5.79	2025-07-25 09:30:00	54.99	
ASTS	3h	5.44	2025-07-25 09:30:00	55.06	
AA	3h	5.24	2025-07-25 09:30:00	30.53	
AA	4h	5.17	2025-07-25 09:30:00	31.08	
ASTS	1h	4.91	2025-07-25 09:30:00	55.27	
VST	3h	4.41	2025-07-24 15:30:00	196.01	2025-07-28 15:30:00
GOOGL	2h	3.75	2025-07-24 15:30:00	192.18	2025-07-28 11:30:00
