ticker	interval	score	signal_date	signal_price	breakthrough_date
隆基绿能 (601012.SS)	5m	1.22	2025-06-13 14:55:00	14.42	
海天味业 (603288.SS)	5m	1.37	2025-06-13 14:45:00	40.73	
金山办公 (688111.SS)	15m	2.24	2025-06-13 14:15:00	269.81	
中国神华 (601088.SS)	30m	2.65	2025-06-13 14:00:00	39.12	
申万宏源 (000166.SZ)	15m	2.22	2025-06-13 14:00:00	4.84	
邮储银行 (601658.SS)	5m	1.12	2025-06-13 13:50:00	5.32	
金山办公 (688111.SS)	15m	2.44	2025-06-13 13:45:00	271.32	
伊利股份 (600887.SS)	15m	2.39	2025-06-13 13:45:00	28.03	
韦尔股份 (603501.SS)	15m	2.36	2025-06-13 13:45:00	125.5	
万华化学 (600309.SS)	15m	2.08	2025-06-13 13:45:00	54.38	
三一重工 (600031.SS)	10m	1.95	2025-06-13 13:40:00	17.77	2025-06-13 14:00:00
伊利股份 (600887.SS)	5m	1.34	2025-06-13 13:40:00	27.86	2025-06-13 13:55:00
伊利股份 (600887.SS)	10m	1.84	2025-06-13 13:40:00	27.9	
伊利股份 (600887.SS)	5m	1.15	2025-06-13 13:30:00	27.85	2025-06-13 13:55:00
韦尔股份 (603501.SS)	30m	2.89	2025-06-13 13:30:00	125.5	
海天味业 (603288.SS)	30m	2.71	2025-06-13 13:30:00	40.81	
滨化股份 (601678.SS)	30m	2.69	2025-06-13 13:30:00	4.17	
海天味业 (603288.SS)	15m	2.15	2025-06-13 13:30:00	40.8	
金山办公 (688111.SS)	10m	1.69	2025-06-13 13:30:00	270.33	
海天味业 (603288.SS)	10m	1.68	2025-06-13 13:30:00	40.79	
万华化学 (600309.SS)	5m	1.13	2025-06-13 13:25:00	54.38	2025-06-13 14:20:00
山东矿机 (002526.SZ)	5m	1.05	2025-06-13 13:25:00	3.84	2025-06-13 13:50:00
金山办公 (688111.SS)	5m	1.35	2025-06-13 13:25:00	270.24	
中国中铁 (601390.SS)	10m	1.77	2025-06-13 13:20:00	5.54	2025-06-13 13:50:00
中信证券 (600030.SS)	10m	1.69	2025-06-13 13:20:00	26.28	
中信证券 (600030.SS)	5m	1.19	2025-06-13 13:20:00	26.26	
寒武纪 (688256.SS)	15m	2.21	2025-06-13 13:15:00	602.92	2025-06-13 13:45:00
寒武纪 (688256.SS)	15m	2.21	2025-06-13 13:15:00	602.92	2025-06-13 13:45:00
中国人寿 (601628.SS)	5m	1.14	2025-06-13 13:10:00	40.57	2025-06-13 14:25:00
寒武纪 (688256.SS)	10m	1.87	2025-06-13 13:10:00	602.54	2025-06-13 13:40:00
寒武纪 (688256.SS)	10m	1.87	2025-06-13 13:10:00	602.54	2025-06-13 13:40:00
赛力斯 (601127.SS)	5m	1.15	2025-06-13 13:05:00	130.99	2025-06-13 14:00:00
寒武纪 (688256.SS)	30m	2.71	2025-06-13 13:00:00	602.92	
寒武纪 (688256.SS)	30m	2.71	2025-06-13 13:00:00	602.92	
三一重工 (600031.SS)	30m	2.5	2025-06-13 11:30:00	17.74	
山东矿机 (002526.SZ)	15m	2.0	2025-06-13 11:30:00	3.85	
