ticker	interval	score	signal_date	signal_price	breakthrough_date
DUO	1h	3.81	2025-07-29 14:30:00	2.12	
U	1h	3.31	2025-07-29 14:30:00	32.58	
MSTR	1h	3.34	2025-07-29 13:30:00	398.46	
QUBT	1h	4.07	2025-07-29 12:30:00	15.71	
AAOI	1h	3.63	2025-07-29 12:30:00	24.94	
CLSK	1h	3.63	2025-07-29 12:30:00	11.74	
SQQQ	3h	4.93	2025-07-29 09:30:00	18.13	
SQQQ	2h	4.48	2025-07-29 09:30:00	18.16	
OPFI	2h	4.22	2025-07-29 09:30:00	11.04	
QUBT	1h	3.31	2025-07-28 15:30:00	16.15	
ACHR	1h	3.13	2025-07-28 15:30:00	10.8	
COST	4h	4.67	2025-07-28 13:30:00	933.99	
HOLO	2h	3.91	2025-07-28 13:30:00	5.18	
SQQQ	2h	3.63	2025-07-28 13:30:00	18.16	
HOLO	1h	3.24	2025-07-28 13:30:00	5.14	
SQQQ	3h	4.25	2025-07-28 12:30:00	18.16	
SH	3h	4.17	2025-07-28 12:30:00	38.78	
SQQQ	1h	3.21	2025-07-28 12:30:00	18.15	
HOLO	1h	3.24	2025-07-28 11:30:00	5.15	
SH	4h	4.7	2025-07-28 09:30:00	38.74	
SH	2h	3.72	2025-07-28 09:30:00	38.71	
HOLO	1h	3.63	2025-07-28 09:30:00	5.2	
U	1h	3.4	2025-07-25 15:30:00	32.77	2025-07-28 13:30:00
LULU	3h	4.17	2025-07-25 15:30:00	219.39	
SQQQ	3h	4.12	2025-07-25 15:30:00	18.25	
LULU	2h	3.69	2025-07-25 15:30:00	219.39	
SQQQ	2h	3.64	2025-07-25 15:30:00	18.25	
SQQQ	1h	3.18	2025-07-25 14:30:00	18.22	
U	1h	3.48	2025-07-25 13:30:00	32.83	2025-07-28 13:30:00
MSTR	1h	3.21	2025-07-25 13:30:00	407.51	
LULU	1h	3.14	2025-07-25 13:30:00	218.38	
COST	1h	3.2	2025-07-25 11:30:00	936.7	2025-07-29 10:30:00
COST	2h	3.81	2025-07-25 11:30:00	937.45	
LULU	1h	3.27	2025-07-25 11:30:00	218.74	
COST	1h	3.37	2025-07-25 09:30:00	936.84	2025-07-29 10:30:00
COST	4h	4.8	2025-07-25 09:30:00	937.45	
CRWD	3h	4.69	2025-07-25 09:30:00	469.43	
CRWD	2h	4.24	2025-07-25 09:30:00	470.08	
MLGO	3h	4.4	2025-07-24 15:30:00	13.66	
SH	2h	3.74	2025-07-24 15:30:00	38.83	
CRWD	1h	3.23	2025-07-24 12:30:00	461.75	2025-07-25 09:30:00
CRWD	1h	3.53	2025-07-24 09:30:00	463.42	2025-07-25 09:30:00
MLGO	3h	4.18	2025-07-23 15:30:00	14.43	
COST	1h	3.47	2025-07-23 09:30:00	945.41	2025-07-29 10:30:00
MU	1h	3.41	2025-07-23 09:30:00	109.8	2025-07-24 10:30:00
OPFI	1h	3.26	2025-07-22 14:30:00	11.24	2025-07-23 11:30:00
MLGO	3h	6.33	2025-07-22 12:30:00	15.45	
MLGO	2h	4.44	2025-07-22 11:30:00	14.5	
DUOL	1h	3.33	2025-07-22 09:30:00	358.6	2025-07-23 13:30:00
SQQQ	3h	5.08	2025-07-22 09:30:00	18.84	
SH	3h	4.09	2025-07-21 15:30:00	39.17	
SQQQ	2h	3.68	2025-07-21 15:30:00	18.43	
SH	2h	3.6	2025-07-21 15:30:00	39.17	
SH	1h	3.41	2025-07-21 14:30:00	39.12	2025-07-22 09:30:00
HOLO	1h	3.26	2025-07-21 10:30:00	5.57	
SH	2h	3.55	2025-07-18 15:30:00	39.23	
SH	1h	3.29	2025-07-18 11:30:00	39.26	2025-07-22 09:30:00
META	1h	3.17	2025-07-18 11:30:00	699.02	2025-07-21 09:30:00
SH	2h	3.96	2025-07-18 11:30:00	39.26	
XIACY	3h	4.15	2025-07-18 09:30:00	36.4	2025-07-21 09:30:00
XIACY	2h	3.65	2025-07-18 09:30:00	36.4	2025-07-21 09:30:00
RDDT	2h	4.17	2025-07-18 09:30:00	143.57	2025-07-18 13:30:00
XIACY	1h	3.0	2025-07-18 09:30:00	36.5	2025-07-18 09:30:00
SQQQ	3h	4.77	2025-07-18 09:30:00	18.75	
SQQQ	2h	4.25	2025-07-18 09:30:00	18.74	
DUOL	3h	4.19	2025-07-17 15:30:00	361.96	
DUOL	2h	3.73	2025-07-17 15:30:00	361.96	
