QQQ
SPY
TQQQ
FNGU
SOXL
AA
AAL
AAOI
AAPL
ACHR
ADBE
AFRM
ALAB
AMD
AMZN
APP
ASML
ASTS
AVGO
BA
BABA
BILI
CAT
CLSK
COIN
COST
CRM
CRWD
DELL
DIS
DJT
DUO
DUOL
DXYZ
FFIE
FUTU
GME
GOOG
HIMS
HOLO
INTC
JD
LI
LLY
LULU
LUNR
MARA
MCD
META
MLGO
MRVL
MSFT
MSTR
MU
NVDA
OPEN
OXY
PANW
PHUN
PLTR
PYPL
QCOM
QMCO
RDDT
RGTI
RIVN
RKLB
SBUX
SE
SERV
SHOP
SMCI
SNOW
SOFI
SOUN
SQ
TIGR
TLRY
TSLA
TSM
U
UPST
VRT
VST
WIMI
WMT
XIACY
XPEV
